Year,Year Code,State,State Code,Deaths,Population,Crude Rate
2000,2000,California,6,56,24380130,0.2
2000,2000,Florida,12,29,11592392,0.3
2000,2000,Georgia,13,21,6018380,0.3
2000,2000,Illinois,17,19,8980011,Unreliable
2000,2000,Maryland,24,15,3881618,Unreliable
2000,2000,New Jersey,34,12,6116992,Unreliable
2000,2000,New York,36,23,13880444,0.2
2000,2000,North Carolina,37,14,5960613,Unreliable
2000,2000,Ohio,39,19,8236548,Unreliable
2000,2000,Texas,48,30,15011892,0.2
2000,2000,Virginia,51,10,5265617,Unreliable
2000,2000,,,404,204567764,0.2
2001,2001,California,6,46,24896390,0.2
2001,2001,Florida,12,20,11898259,0.2
2001,2001,Georgia,13,40,6164280,0.6
2001,2001,Illinois,17,21,9046240,0.2
2001,2001,Louisiana,22,10,3252295,Unreliable
2001,2001,Maryland,24,12,3947771,Unreliable
2001,2001,Mississippi,28,12,2059791,Unreliable
2001,2001,Missouri,29,10,4097874,Unreliable
2001,2001,New Jersey,34,10,6179107,Unreliable
2001,2001,New York,36,40,13990543,0.3
2001,2001,Pennsylvania,42,12,8940086,Unreliable
2001,2001,Tennessee,47,11,4253133,Unreliable
2001,2001,Texas,48,41,15381721,0.3
2001,2001,,,412,207612586,0.2
2002,2002,California,6,56,25248180,0.2
2002,2002,Florida,12,23,12168160,0.2
2002,2002,Georgia,13,25,6262693,0.4
2002,2002,Illinois,17,12,9086016,Unreliable
2002,2002,Maryland,24,11,4004646,Unreliable
2002,2002,Michigan,26,11,7276110,Unreliable
2002,2002,New York,36,25,14059543,0.2
2002,2002,North Carolina,37,18,6165065,Unreliable
2002,2002,Ohio,39,12,8299439,Unreliable
2002,2002,Pennsylvania,42,11,8981250,Unreliable
2002,2002,Tennessee,47,10,4290500,Unreliable
2002,2002,Texas,48,35,15672447,0.2
2002,2002,,,377,209928491,0.2
2003,2003,California,6,94,25589318,0.4
2003,2003,Colorado,8,10,3373926,Unreliable
2003,2003,Florida,12,25,12430656,0.2
2003,2003,Georgia,13,39,6349234,0.6
2003,2003,Illinois,17,13,9124408,Unreliable
2003,2003,Louisiana,22,12,3298652,Unreliable
2003,2003,Maryland,24,20,4055184,0.5
2003,2003,Michigan,26,16,7309075,Unreliable
2003,2003,New Jersey,34,10,6269834,Unreliable
2003,2003,New York,36,56,14126380,0.4
2003,2003,North Carolina,37,16,6232660,Unreliable
2003,2003,Ohio,39,14,8332232,Unreliable
2003,2003,Pennsylvania,42,21,9032538,0.2
2003,2003,Texas,48,60,15931243,0.4
2003,2003,Wisconsin,55,11,4007275,Unreliable
2003,2003,,,544,212116669,0.3
2004,2004,California,6,147,25914668,0.6
2004,2004,Florida,12,35,12772737,0.3
2004,2004,Georgia,13,17,6470151,Unreliable
2004,2004,Illinois,17,17,9173540,Unreliable
2004,2004,Louisiana,22,26,3332164,0.8
2004,2004,Maryland,24,17,4104071,Unreliable
2004,2004,Michigan,26,57,7335756,0.8
2004,2004,Mississippi,28,11,2098052,Unreliable
2004,2004,Montana,30,10,688631,Unreliable
2004,2004,New Jersey,34,40,6307190,0.6
2004,2004,New York,36,78,14168759,0.6
2004,2004,Oklahoma,40,15,2579789,Unreliable
2004,2004,Pennsylvania,42,14,9084123,Unreliable
2004,2004,Texas,48,48,16213304,0.3
2004,2004,Washington,53,16,4581949,Unreliable
2004,2004,,,693,214617710,0.3
2005,2005,Alabama,1,12,3378811,Unreliable
2005,2005,California,6,119,26203570,0.5
2005,2005,Florida,12,59,13133146,0.4
2005,2005,Georgia,13,32,6590751,0.5
2005,2005,Illinois,17,15,9216302,Unreliable
